name	zl	zs	theta_Er	Dobs	Dobserr
J1404+5200	0.456	1.59	1.23627E-05	0.756999305	0.132376265
J1405+5243	0.526	3.01	7.32069E-06	0.606582391	0.120247329
J1406+5226	0.716	1.47	4.55725E-06	0.475480579	0.095343834
J1411+5651	0.322	1.42	4.50877E-06	0.661158999	0.167357459
J1420+5258	0.38	0.99	4.65421E-06	0.524901319	0.121047729
J1420+5630	0.483	3.12	6.78739E-06	0.918924596	0.193185809
J2203+0205	0.4	2.15	9.45387E-06	1.411737314	0.337833579
J2205+0147	0.476	2.53	8.04791E-06	0.529282726	0.120925106
J2213-0009	0.338	3.45	5.18751E-06	1.159538647	0.3224322
J2219-0017	0.289	1.02	2.52103E-06	0.49493039	0.121996523
J2220+0106	0.232	1.07	1.0472E-05	4.304407713	1.18406044
J2221+0115	0.325	2.35	6.78739E-06	0.94337385	0.23416334
J2222+0012	0.436	1.36	6.98132E-06	1.005449536	0.237573505
J0008-0004	0.44	1.192	5.62384E-06	1.037846319	0.412537438
J0029-0055	0.227	0.931	4.65421E-06	0.619302418	0.125366265
J0037-0942	0.196	0.632	7.41765E-06	0.663324551	0.098150616
J0044+0113	0.12	0.196	3.83003E-06	0.384779637	0.0624986
J0109+1500	0.294	0.525	3.34521E-06	0.35715528	0.07209917
J0157-0056	0.513	0.924	3.83003E-06	0.289156641	0.099387335
J0216-0813	0.332	0.524	5.62384E-06	0.358902007	0.067864734
J0252+0039	0.28	0.982	5.04206E-06	1.264350377	0.243423934
J0330-0020	0.351	1.071	5.33295E-06	0.789141414	0.18823959
J0405-0455	0.075	0.81	3.87851E-06	1.020304051	0.165475332
J0728+3835	0.206	0.688	6.06017E-06	0.904959817	0.148676753
J0737+3216	0.322	0.581	4.84814E-06	0.302139924	0.049609024
J0808+4706	0.219	1.025	5.96321E-06	0.753978062	0.120269768
J0822+2652	0.241	0.594	5.67232E-06	0.582888545	0.100644486
J0841+3824	0.116	0.657	6.83587E-06	0.993392041	0.162384299
J0903+4116	0.43	1.065	6.2541E-06	0.861643326	0.239447338
